card_number,card_holder_name,mobile_number,number_of_persons_in_family,score
5678901269,Kiran Kumari,7232109876,2,55
6789012380,Ajay Sethi,6121098765,5,70
7890123491,Shilpa Patil,9010987654,3,85
8901234601,Hari Om,7909876543,1,100
9012345713,Deepa Nair,9898765432,4,60
0123456824,Vijay Raghav,8787654321,6,75
1234567925,Seema Kohli,7676543210,2,80
2345678937,Arvind Sharma,6565432109,5,100
3456789048,Neelam Tyagi,9454321098,3,65
4567890159,Rahul Bhatt,8343210987,1,90
5678901270,Sarika Jain,7232109876,4,70
6789012381,Kunal Roy,6121098765,6,85
7890123492,Meena Vyas,9010987654,2,100
8901234602,Alok Mishra,7909876543,5,60
9012345714,Pallavi Sen,9898765432,3,75
0123456825,Sanjana Rani,8787654321,1,80
1234567926,Gaurav Dube,7676543210,4,100
2345678938,Chitra Iyer,6565432109,6,90
3456789049,Naveen Kumar,9454321098,2,55
4567890160,Sweta Pal,8343210987,5,70
5678901271,Mohan Lal,7232109876,3,85
6789012382,Radha Devi,6121098765,1,100
7890123493,Pramod Singh,9010987654,4,60
8901234603,Anu Sharma,7909876543,6,75
9012345715,Suman Rawat,9898765432,2,80
0123456826,Amitabh Das,8787654321,5,100
1234567927,Ritu Negi,7676543210,3,65
2345678939,Vinita Rao,6565432109,1,90
3456789050,Sachin Vohra,9454321098,4,70
4567890161,Pankaj Goyal,8343210987,6,85
5678901272,Neetu Bala,7232109876,2,100
6789012383,Mahesh Kulkarni,6121098765,5,60
7890123494,Shobha Menon,9010987654,3,75
8901234604,Rajiv Saxena,7909876543,1,80
9012345716,Anjali Thakur,9898765432,4,100
0123456827,Suresh Jha,8787654321,6,90
1234567928,Priya Bedi,7676543210,2,55
2345678940,Vikrant Chawla,6565432109,5,70
3456789051,Manju Yadav,9454321098,3,85
4567890162,Nitin Mehra,8343210987,1,100
5678901273,Shalini Shah,7232109876,4,60
6789012384,Akash Dutta,6121098765,6,75
7890123495,Poonam Rani,9010987654,2,80
8901234605,Santosh Nair,7909876543,5,100
9012345717,Reema Suresh,9898765432,3,65
0123456828,Deepak Kapoor,8787654321,1,90
1234567929,Sarita Das,7676543210,4,70
2345678941,Praveen Vyas,6565432109,6,85
3456789052,Anita Raghav,9454321098,2,100
4567890163,Vijay Kohli,8343210987,5,60
5678901274,Sejal Sharma,7232109876,3,75
6789012385,Rakesh Saini,6121098765,1,80
7890123496,Monika Gupta,9010987654,4,100
8901234606,Sunita Pawar,7909876543,6,90
9012345718,Kiran Kumari,9898765432,2,55
0123456829,Ajay Sethi,8787654321,5,70
1234567930,Shilpa Patil,7676543210,3,85
2345678942,Hari Om,6565432109,1,100
3456789053,Deepa Nair,9454321098,4,60
4567890164,Vijay Raghav,8343210987,6,75
5678901275,Seema Kohli,7232109876,2,80
6789012386,Arvind Sharma,6121098765,5,100
7890123497,Neelam Tyagi,9010987654,3,65
8901234607,Rahul Bhatt,7909876543,1,90
9012345719,Sarika Jain,9898765432,4,70
0123456830,Kunal Roy,8787654321,6,85
1234567931,Meena Vyas,7676543210,2,100
2345678943,Alok Mishra,6565432109,5,60
3456789054,Pallavi Sen,9454321098,3,75
4567890165,Sanjana Rani,8343210987,1,80
5678901276,Gaurav Dube,7232109876,4,100
6789012387,Chitra Iyer,6121098765,6,90
7890123498,Naveen Kumar,9010987654,2,55
8901234608,Sweta Pal,7909876543,5,70
9012345720,Mohan Lal,9898765432,3,85
0123456831,Radha Devi,8787654321,1,100
1234567932,Pramod Singh,7676543210,4,60
2345678944,Anu Sharma,6565432109,6,75
3456789055,Suman Rawat,9454321098,2,80
4567890166,Amitabh Das,8343210987,5,100
5678901277,Ritu Negi,7232109876,3,65
6789012388,Vinita Rao,6121098765,1,90
7890123499,Sachin Vohra,9010987654,4,70
8901234609,Pankaj Goyal,7909876543,6,85
9012345721,Neetu Bala,9898765432,2,100
0123456832,Mahesh Kulkarni,8787654321,5,60
1234567933,Shobha Menon,7676543210,3,75
2345678945,Rajiv Saxena,6565432109,1,80
3456789056,Anjali Thakur,9454321098,4,100
4567890167,Suresh Jha,8343210987,6,90
5678901278,Priya Bedi,7232109876,2,55
6789012389,Vikrant Chawla,6121098765,5,70
7890123500,Manju Yadav,9010987654,3,85
8901234610,Nitin Mehra,7909876543,1,100
9012345722,Shalini Shah,9898765432,4,60
0123456833,Akash Dutta,8787654321,6,75
1234567934,Poonam Rani,7676543210,2,80
2345678946,Santosh Nair,6565432109,5,100
3456789057,Reema Suresh,9454321098,3,65
4567890168,Deepak Kapoor,8343210987,1,90
5678901279,Sarita Das,7232109876,4,70
6789012390,Praveen Vyas,6121098765,6,85
7890123501,Anita Raghav,9010987654,2,100
8901234611,Vijay Kohli,7909876543,5,60
9012345723,Sejal Sharma,9898765432,3,75
0123456834,Rakesh Saini,8787654321,1,80
1234567935,Monika Gupta,7676543210,4,100
2345678947,Sunita Pawar,6565432109,6,90
3456789058,Kiran Kumari,9454321098,2,55
4567890169,Ajay Sethi,8343210987,5,70
5678901280,Shilpa Patil,7232109876,3,85
6789012391,Hari Om,6121098765,1,100
7890123502,Deepa Nair,9010987654,4,60
8901234612,Vijay Raghav,7909876543,6,75
9012345724,Seema Kohli,9898765432,2,80
0123456835,Arvind Sharma,8787654321,5,100
1234567936,Neelam Tyagi,7676543210,3,65
2345678948,Rahul Bhatt,6565432109,1,90
3456789059,Sarika Jain,9454321098,4,70
4567890170,Kunal Roy,8343210987,6,85
5678901281,Meena Vyas,7232109876,2,100
6789012392,Alok Mishra,6121098765,5,60
7890123503,Pallavi Sen,9010987654,3,75
8901234613,Sanjana Rani,7909876543,1,80
9012345725,Gaurav Dube,9898765432,4,100
0123456836,Chitra Iyer,8787654321,6,90
1234567937,Naveen Kumar,7676543210,2,55
2345678949,Sweta Pal,6565432109,5,70
3456789060,Mohan Lal,9454321098,3,85
4567890171,Radha Devi,8343210987,1,100
5678901282,Pramod Singh,7232109876,4,60
6789012393,Anu Sharma,6121098765,6,75
7890123504,Suman Rawat,9010987654,2,80
8901234614,Amitabh Das,7909876543,5,100
9012345726,Ritu Negi,9898765432,3,65
0123456837,Vinita Rao,8787654321,1,90
1234567938,Sachin Vohra,7676543210,4,70
2345678950,Pankaj Goyal,6565432109,6,85
3456789061,Neetu Bala,9454321098,2,100
4567890172,Mahesh Kulkarni,8343210987,5,60
5678901283,Shobha Menon,7232109876,3,75
6789012394,Rajiv Saxena,6121098765,1,80
7890123505,Anjali Thakur,9010987654,4,100
8901234615,Suresh Jha,7909876543,6,90
9012345727,Priya Bedi,9898765432,2,55
0123456838,Vikrant Chawla,8787654321,5,70
1234567939,Manju Yadav,7676543210,3,85
2345678951,Nitin Mehra,6565432109,1,100
3456789062,Shalini Shah,9454321098,4,60
4567890173,Akash Dutta,8343210987,6,75
5678901284,Poonam Rani,7232109876,2,80
6789012395,Santosh Nair,6121098765,5,100
7890123506,Reema Suresh,9010987654,3,65
8901234616,Deepak Kapoor,7909876543,1,90
9012345728,Sarita Das,9898765432,4,70
0123456839,Praveen Vyas,8787654321,6,85
1234567940,Anita Raghav,7676543210,2,100
2345678952,Vijay Kohli,6565432109,5,60
3456789063,Sejal Sharma,9454321098,3,75
4567890174,Rakesh Saini,8343210987,1,80
5678901285,Monika Gupta,7232109876,4,100
6789012396,Sunita Pawar,6121098765,6,90
7890123507,Kiran Kumari,9010987654,2,55
8901234617,Ajay Sethi,7909876543,5,70
9012345729,Shilpa Patil,9898765432,3,85
0123456840,Hari Om,8787654321,1,100
1234567941,Deepa Nair,7676543210,4,60
2345678953,Vijay Raghav,6565432109,6,75
3456789064,Seema Kohli,9454321098,2,80
4567890175,Arvind Sharma,8343210987,5,100
5678901286,Neelam Tyagi,7232109876,3,65
6789012397,Rahul Bhatt,6121098765,1,90
7890123508,Sarika Jain,9010987654,4,70
8901234618,Kunal Roy,7909876543,6,85
9012345730,Meena Vyas,9898765432,2,100
0123456841,Alok Mishra,8787654321,5,60
1234567942,Pallavi Sen,7676543210,3,75
2345678954,Sanjana Rani,6565432109,1,80
3456789065,Gaurav Dube,9454321098,4,100
4567890176,Chitra Iyer,8343210987,6,90
5678901287,Naveen Kumar,7232109876,2,55
6789012398,Sweta Pal,6121098765,5,70
7890123509,Mohan Lal,9010987654,3,85
8901234619,Radha Devi,7909876543,1,100
9012345731,Pramod Singh,9898765432,4,60
0123456842,Anu Sharma,8787654321,6,75
1234567943,Suman Rawat,7676543210,2,80
2345678955,Amitabh Das,6565432109,5,100
3456789066,Ritu Negi,9454321098,3,65
4567890177,Vinita Rao,8343210987,1,90
5678901288,Sachin Vohra,7232109876,4,70
6789012399,Pankaj Goyal,6121098765,6,85
7890123510,Neetu Bala,9010987654,2,100
8901234620,Mahesh Kulkarni,7909876543,5,60
9012345732,Shobha Menon,9898765432,3,75
0123456843,Rajiv Saxena,8787654321,1,80
1234567944,Anjali Thakur,7676543210,4,100
2345678956,Suresh Jha,6565432109,6,90
3456789067,Priya Bedi,9454321098,2,55
4567890178,Vikrant Chawla,8343210987,5,70
5678901289,Manju Yadav,7232109876,3,85
6789012400,Nitin Mehra,6121098765,1,100
7890123511,Shalini Shah,9010987654,4,60
8901234621,Akash Dutta,7909876543,6,75
9012345733,Poonam Rani,9898765432,2,80
0123456844,Santosh Nair,8787654321,5,100
1234567945,Reema Suresh,7676543210,3,65
2345678957,Deepak Kapoor,6565432109,1,90
3456789068,Sarita Das,9454321098,4,70
4567890179,Praveen Vyas,8343210987,6,85
5678901290,Anita Raghav,7232109876,2,100
6789012401,Vijay Kohli,6121098765,5,60
7890123512,Sejal Sharma,9010987654,3,75
8901234622,Rakesh Saini,7909876543,1,80
